Team,Wins,Losses,Ties
Philadelphia,1,0,0
Washington,0,1,0
Dallas,0,1,0
NY Giants,0,1,0
Minnesota,1,0,0
Detroit,1,0,0
Green Bay,0,1,0
Chicago,0,1,0
Atlanta,1,0,0
Carolina,1,0,0
New Orleans,0,1,0
Tampa Bay,0,1,0
Seattle,1,0,0
San Francisco,1,0,0
Arizona,1,0,0
St. Louis,0,1,0
Miami,1,0,0
NY Jets,1,0,0
Buffalo,1,0,0
New England,0,1,0
Pittsburgh,1,0,0
Cincinnati,1,0,0
Cleveland,0,1,0
Baltimore,0,1,0
Houston,1,0,0
Tennessee,1,0,0
Indianapolis,0,1,0
Jacksonville,0,1,0
Denver,1,0,0
Oakland,0,1,0
Kansas City,0,1,0
San Diego,0,1,0
